date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:53:48	193262/193262	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:15%20GMT	http://fiisha.com/product-detail/2-3	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/2-3.html	(from http://fiisha.com/)
05:53:49	213176/213176	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:16%20GMT	http://fiisha.com/shop?type=mostliked	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/shop0c9e.html	(from http://fiisha.com/)
05:53:50	126285/126285	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:17%20GMT	http://fiisha.com/shop?category=tv	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/shopcb81.html	(from http://fiisha.com/)
05:53:52	166201/166201	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:20%20GMT	http://fiisha.com/shop?category=household-appliance	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/shop7b04.html	(from http://fiisha.com/)
05:53:53	19651/19651	---M--	200	added ('OK')	image/jpeg	etag:%22a781f5c-4cc3-5a52ccd9619cb%22	http://fiisha.com/images/media/2020/05/medium15889867294Z9XK09301.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium15889867294Z9XK09301.jpg	(from http://fiisha.com/)
05:53:55	212063/212063	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:22%20GMT	http://fiisha.com/shop?category=air-conditioners	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/shop3171.html	(from http://fiisha.com/)
05:53:55	17978/17978	---M--	200	added ('OK')	image/jpeg	etag:%22a781f65-463a-5a52d247cebc5%22	http://fiisha.com/images/media/2020/05/medium15889881877UouP09801.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium15889881877UouP09801.jpg	(from http://fiisha.com/)
05:53:56	12453/12453	---M--	200	added ('OK')	image/jpeg	etag:%22a781f7d-30a5-5a52d8c5c6815%22	http://fiisha.com/images/media/2020/05/medium158898993003rfE09402.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium158898993003rfE09402.jpg	(from http://fiisha.com/)
05:53:57	85527/85527	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:24%20GMT	http://fiisha.com/shop?category=food-preparation	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/shopdd1d.html	(from http://fiisha.com/)
05:53:59	85528/85528	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:27%20GMT	http://fiisha.com/shop?category=electrical-appliances-1	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/shope7ab.html	(from http://fiisha.com/)
05:54:00	18979/18979	---M--	200	added ('OK')	image/jpeg	etag:%22a781f83-4a23-5a52da6bc97c0%22	http://fiisha.com/images/media/2020/05/medium15889903731OEEL09902.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium15889903731OEEL09902.jpg	(from http://fiisha.com/)
05:54:01	114208/114208	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:28%20GMT	http://fiisha.com/shop?category=test-category	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/shop70ea.html	(from http://fiisha.com/)
05:54:01	4158/4158	---M--	200	added ('OK')	image/jpeg	etag:%22a781fef-103e-5a5306920323e%22	http://fiisha.com/images/media/2020/05/VCNgC09405.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/VCNgC09405.jpg	(from http://fiisha.com/)
05:54:02	11662/11662	---M--	200	added ('OK')	image/jpeg	etag:%22a7820ca-2d8e-5a55886260e1a%22	http://fiisha.com/images/media/2020/05/medium1589174509ZAJQ511905.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589174509ZAJQ511905.jpg	(from http://fiisha.com/)
05:54:03	157287/157287	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:30%20GMT	http://fiisha.com/product-detail/2400-16	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/2400-16.html	(from http://fiisha.com/)
05:54:04	94251/94251	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:32%20GMT	http://fiisha.com/news-detail/5-2020	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/news-detail/5-2020.html	(from http://fiisha.com/)
05:54:06	85684/85684	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:34%20GMT	http://fiisha.com/news-detail/2	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/news-detail/2.html	(from http://fiisha.com/)
05:54:08	91169/91169	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:36%20GMT	http://fiisha.com/news-detail/1	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/news-detail/1.html	(from http://fiisha.com/)
05:54:24	91607/91607	---M--	200	added ('OK')	image/jpeg	etag:%22a781f51-165d7-5a554c87ac253%22	http://fiisha.com/images/media/2020/05/ZJ6ti11712.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/ZJ6ti11712.jpg	(from http://fiisha.com/)
